NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,team
10,Christian Koloko (TW),C,7-1,230.0,2000-06-20,CM CM,1,Arizona,WAS
2,Jarred Vanderbilt,PF,6-8,214.0,1999-04-03,US US,6,Kentucky,WAS
20,Shake Milton,SG,6-5,205.0,1996-09-26,US US,6,SMU,WAS
30,Jordan Goodwin,PG,6-3,200.0,1998-10-23,US US,3,Saint Louis,WAS
77,Luka Dončić,PG,6-6,230.0,1999-02-28,SI SI,6,,WAS
9,Bronny James,SG,6-2,210.0,2004-10-06,US US,R,USC,WAS
55,Trey Jemison (TW),C,6-11,260.0,1999-11-28,US US,1,"Clemson, UAB",WAS
27,Alex Len,C,7-0,250.0,1993-06-16,UA UA,11,Maryland,WAS
88,Markieff Morris,PF,6-9,245.0,1989-09-02,US US,13,Kansas,WAS
14,Maxi Kleber,PF,6-10,240.0,1992-01-29,DE DE,7,,WAS
0,Jaylen Wells,SG,6-7,206.0,2003-08-26,US US,R,"Sonoma State University, Washington State",WAS
1,Scotty Pippen Jr.,PG,6-1,185.0,2000-11-10,US US,2,Vanderbilt,WAS
13,Jaren Jackson Jr.,C,6-10,242.0,1999-09-15,US US,6,Michigan State,WAS
22,Desmond Bane,SG,6-5,215.0,1998-06-25,US US,4,TCU,WAS
14,Zach Edey,C,7-4,305.0,2002-05-14,CA CA,R,Purdue,WAS
7,Santi Aldama,PF,6-11,224.0,2001-01-10,ES ES,3,Loyola (MD),WAS
10,Luke Kennard,SG,6-5,206.0,1996-06-24,US US,7,Duke,WAS
15,Brandon Clarke,PF,6-8,215.0,1996-09-19,CA CA,5,"San Jose State, Gonzaga",WAS
30,Jay Huff,C,7-1,240.0,1998-08-25,US US,3,Virginia,WAS
12,Ja Morant,PG,6-2,174.0,1999-08-10,US US,5,Murray State,WAS
46,John Konchar,SG,6-5,210.0,1996-03-22,US US,5,Purdue-Fort Wayne,WAS
45,GG Jackson II,PF,6-9,215.0,2004-12-17,US US,1,South Carolina,WAS
5,Vince Williams Jr.,SG,6-4,205.0,2000-08-30,US US,2,VCU,WAS
24,Cam Spencer (TW),SG,6-3,205.0,2000-04-06,US US,R,"Loyola (MD), Rutgers University, UConn",WAS
17,Yuki Kawamura (TW),PG,5-8,159.0,2001-05-02,JP JP,R,,WAS
8,Lamar Stevens,PF,6-6,230.0,1997-07-09,US US,4,Penn State,WAS
35,Marvin Bagley III,PF,6-10,235.0,1999-03-14,US US,6,Duke,WAS
2,Zyon Pullin (TW),SG,6-4,206.0,2001-03-03,US US,R,"University of California, Riverside, Florida",WAS
13,Bam Adebayo,C,6-9,255.0,1997-07-18,US US,7,Kentucky,WAS
14,Tyler Herro,SG,6-5,195.0,2000-01-20,US US,5,Kentucky,WAS
55,Duncan Robinson,SF,6-7,215.0,1994-04-22,US US,6,"Williams, Michigan",WAS
24,Haywood Highsmith,SF,6-7,220.0,1996-12-09,US US,4,Wheeling University,WAS
11,Jaime Jaquez Jr.,SF,6-6,225.0,2001-02-18,US US,1,UCLA,WAS
2,Terry Rozier,PG,6-1,190.0,1994-03-17,US US,9,Louisville,WAS
7,Kel'el Ware,C,7-0,230.0,2004-04-20,US US,R,"Oregon, Indiana",WAS
9,Pelle Larsson,SG,6-5,215.0,2001-02-23,SE SE,R,"Utah, Arizona",WAS
18,Alec Burks,SG,6-6,214.0,1991-07-20,US US,13,Colorado,WAS
5,Nikola Jović,PF,6-10,209.0,2003-06-09,GB GB,2,,WAS
45,Davion Mitchell,PG,6-2,205.0,1998-09-05,US US,3,"Auburn, Baylor",WAS
20,Kyle Anderson,SF,6-9,230.0,1993-09-20,US US,10,UCLA,WAS
42,Kevin Love,PF,6-8,251.0,1988-09-07,US US,16,UCLA,WAS
22,Andrew Wiggins,SF,6-7,197.0,1995-02-23,CA CA,10,Kansas,WAS
16,Keshad Johnson,SF,6-6,225.0,2001-06-23,US US,R,"San Diego State, Arizona",WAS
12,Dru Smith (TW),SG,6-3,203.0,1997-12-30,US US,2,"University of Evansville, Missouri",WAS
8,Josh Christopher (TW),SG,6-5,215.0,2001-12-08,US US,2,Arizona State,WAS
4,Isaiah Stevens (TW),PG,6-0,185.0,2000-11-01,US US,R,Colorado State,WAS
11,Brook Lopez,C,7-1,282.0,1988-04-01,US US,16,Stanford,WAS
12,Taurean Prince,SF,6-6,218.0,1994-03-22,US US,8,Baylor,WAS
5,Gary Trent Jr.,SG,6-5,209.0,1999-01-18,US US,6,Duke,WAS
20,A.J. Green,SG,6-4,200.0,1999-09-27,US US,2,University of Northern Iowa,WAS
34,Giannis Antetokounmpo,PF,6-11,242.0,1994-12-06,GR GR,11,,WAS
44,Andre Jackson Jr.,SG,6-6,210.0,2001-11-13,US US,1,UConn,WAS
0,Damian Lillard,PG,6-2,195.0,1990-07-15,US US,12,Weber State,WAS
13,Ryan Rollins,PG,6-4,180.0,2002-07-03,US US,2,Toledo,WAS
9,Bobby Portis,PF,6-10,250.0,1995-02-10,US US,9,Arkansas,WAS
24,Pat Connaughton,SG,6-5,209.0,1993-01-06,US US,9,Notre Dame,WAS
18,Kyle Kuzma,PF,6-9,221.0,1995-07-24,US US,7,Utah,WAS
3,Kevin Porter Jr.,SG,6-4,203.0,2000-05-04,US US,4,USC,WAS
21,Tyler Smith,PF,6-11,224.0,2004-11-02,US US,R,,WAS
17,Stanley Umude (TW),SG,6-6,210.0,1999-04-12,US US,2,"South Dakota, Arkansas",WAS
7,Chris Livingston,SF,6-6,220.0,2003-10-15,US US,1,Kentucky,WAS
0,Jericho Sims,C,6-10,245.0,1998-10-20,US US,3,Texas,WAS
35,Pete Nance (TW),PF,6-11,230.0,2000-02-19,US US,1,"Northwestern, UNC",WAS
15,Jamaree Bouyea (TW),PG,6-2,180.0,1999-06-27,US US,2,San Francisco,WAS
