[2025-06-19T12:28:40.776+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between NYK and CHI.
[2025-06-19T12:28:46.811+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between PHI and CLE.
[2025-06-19T12:28:53.954+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between OKC and NOP.
[2025-06-19T12:29:01.090+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between HOU and LAC.
[2025-06-19T12:29:07.992+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between MIL and DET.
[2025-06-19T12:29:13.760+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between SAS and WAS.
[2025-06-19T12:29:20.713+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between LAL and MEM.
[2025-06-19T12:29:27.663+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between POR and MIN.
[2025-06-19T12:29:34.575+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between SAC and PHO.
[2025-06-19T12:29:40.683+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-14 between UTA and DAL.
[2025-06-19T12:29:48.002+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between IND and MIA.
[2025-06-19T12:29:54.905+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between ORL and PHI.
[2025-06-19T12:30:01.859+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between TOR and DET.
[2025-06-19T12:30:08.974+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between ATL and WAS.
[2025-06-19T12:30:15.471+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between CLE and CHI.
[2025-06-19T12:30:22.458+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between NYK and BRK.
[2025-06-19T12:30:28.154+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between SAS and LAL.
[2025-06-19T12:30:35.262+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between HOU and LAC.
[2025-06-19T12:30:41.719+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between NOP and DEN.
[2025-06-19T12:30:48.839+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between OKC and PHO.
[2025-06-19T12:30:55.890+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between GSW and MEM.
[2025-06-19T12:31:03.067+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between SAC and MIN.
[2025-06-19T12:31:08.877+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between CHO and MIL.
[2025-06-19T12:31:16.174+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between BOS and TOR.
[2025-06-19T12:31:23.037+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between NOP and LAL.
[2025-06-19T12:31:30.273+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between DAL and SAS.
[2025-06-19T12:31:35.833+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between SAC and UTA.
[2025-06-19T12:31:43.079+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between MIN and PHO.
[2025-06-19T12:31:50.194+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between IND and MIA.
[2025-06-19T12:31:57.121+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between CLE and CHO.
[2025-06-19T12:32:04.266+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between WAS and DET.
[2025-06-19T12:32:10.080+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between MEM and DEN.
[2025-06-19T12:32:16.958+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between POR and ATL.
[2025-06-19T12:32:23.869+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between NYK and BRK.
[2025-06-19T12:32:31.275+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between CHI and HOU.
[2025-06-19T12:32:37.016+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between OKC and DAL.
[2025-06-19T12:32:43.922+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between LAC and UTA.
[2025-06-19T12:32:51.106+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between DET and CHI.
[2025-06-19T12:32:58.201+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between MIA and PHI.
[2025-06-19T12:33:04.185+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between NYK and WAS.
[2025-06-19T12:33:11.171+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between TOR and IND.
[2025-06-19T12:33:18.104+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between MIL and HOU.
[2025-06-19T12:33:25.339+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between PHO and ORL.
[2025-06-19T12:33:31.032+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between SAC and ATL.
[2025-06-19T12:33:37.929+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between LAC and GSW.
[2025-06-19T12:33:45.159+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between BOS and CLE.
[2025-06-19T12:33:52.299+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between BRK and CHO.
[2025-06-19T12:33:58.791+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between MEM and DEN.
[2025-06-19T12:34:05.825+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between DAL and NOP.
[2025-06-19T12:34:12.719+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between SAS and OKC.
[2025-06-19T12:34:18.292+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between LAL and UTA.
[2025-06-19T12:34:25.742+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-20 between CLE and NOP.
[2025-06-19T12:34:32.593+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-20 between MIL and CHI.
[2025-06-19T12:34:39.576+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-20 between HOU and IND.
