[2025-06-21T13:34:47.138+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between MIA and PHI.
[2025-06-21T13:34:53.795+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between NYK and WAS.
[2025-06-21T13:35:00.666+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between TOR and IND.
[2025-06-21T13:35:07.380+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between MIL and HOU.
[2025-06-21T13:35:14.047+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between PHO and ORL.
[2025-06-21T13:35:20.622+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between SAC and ATL.
[2025-06-21T13:35:27.347+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between LAC and GSW.
[2025-06-21T13:35:34.394+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between BOS and CLE.
[2025-06-21T13:35:41.087+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between BRK and CHO.
[2025-06-21T13:35:47.734+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between MEM and DEN.
[2025-06-21T13:35:54.347+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between DAL and NOP.
[2025-06-21T13:36:01.341+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between SAS and OKC.
