[2025-06-21T10:59:50.017+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between MIN and PHO.
[2025-06-21T10:59:56.839+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between IND and MIA.
[2025-06-21T11:00:03.508+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between CLE and CHO.
[2025-06-21T11:00:10.151+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between WAS and DET.
[2025-06-21T11:00:16.994+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between MEM and DEN.
[2025-06-21T11:00:23.701+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between POR and ATL.
[2025-06-21T11:00:30.537+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between NYK and BRK.
[2025-06-21T11:00:37.187+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between CHI and HOU.
[2025-06-21T11:00:43.851+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between OKC and DAL.
[2025-06-21T11:00:50.609+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between LAC and UTA.
[2025-06-21T11:00:57.590+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between DET and CHI.
[2025-06-21T11:01:04.325+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between MIA and PHI.
[2025-06-21T11:01:10.954+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between NYK and WAS.
[2025-06-21T11:01:17.935+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between TOR and IND.
[2025-06-21T11:01:24.581+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between MIL and HOU.
[2025-06-21T11:01:31.202+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between PHO and ORL.
[2025-06-21T11:01:37.827+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between SAC and ATL.
[2025-06-21T11:01:44.607+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between LAC and GSW.
[2025-06-21T11:01:51.416+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between BOS and CLE.
[2025-06-21T11:01:58.086+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between BRK and CHO.
[2025-06-21T11:02:04.690+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between MEM and DEN.
[2025-06-21T11:02:11.284+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between DAL and NOP.
[2025-06-21T11:02:18.059+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between SAS and OKC.
