[2025-06-21T23:00:51.703+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-12 between ORL and CHO.
[2025-06-21T23:00:58.301+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-12 between PHI and NYK.
[2025-06-21T23:01:06.177+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-12 between MIL and TOR.
[2025-06-21T23:01:12.822+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-12 between UTA and PHO.
[2025-06-21T23:01:19.385+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-12 between GSW and DAL.
[2025-06-21T23:01:26.271+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-12 between POR and MIN.
[2025-06-21T23:01:34.295+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between ORL and IND.
[2025-06-21T23:01:41.371+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between BRK and BOS.
[2025-06-21T23:01:48.070+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between NYK and CHI.
[2025-06-21T23:01:54.682+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between PHI and CLE.
[2025-06-21T23:02:01.229+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between OKC and NOP.
[2025-06-21T23:02:09.174+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between HOU and LAC.
[2025-06-21T23:02:15.872+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between MIL and DET.
[2025-06-21T23:02:22.686+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between SAS and WAS.
[2025-06-21T23:02:29.285+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between LAL and MEM.
[2025-06-21T23:02:37.527+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between POR and MIN.
[2025-06-21T23:02:44.083+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-13 between SAC and PHO.
[2025-06-21T23:02:50.885+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-14 between UTA and DAL.
[2025-06-21T23:02:57.904+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between IND and MIA.
[2025-06-21T23:03:05.966+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between ORL and PHI.
[2025-06-21T23:03:12.566+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between TOR and DET.
[2025-06-21T23:03:19.287+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between ATL and WAS.
[2025-06-21T23:03:25.909+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between CLE and CHI.
[2025-06-21T23:03:32.664+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between NYK and BRK.
[2025-06-21T23:03:40.437+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between SAS and LAL.
[2025-06-21T23:03:47.290+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between HOU and LAC.
[2025-06-21T23:03:53.873+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between NOP and DEN.
[2025-06-21T23:04:00.634+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between OKC and PHO.
[2025-06-21T23:04:08.444+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between GSW and MEM.
[2025-06-21T23:04:15.014+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-15 between SAC and MIN.
[2025-06-21T23:04:21.781+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-16 between CHO and MIL.
[2025-06-21T23:04:28.524+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-16 between BOS and TOR.
[2025-06-21T23:04:35.202+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-16 between NOP and LAL.
[2025-06-21T23:04:43.129+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-16 between DAL and SAS.
[2025-06-21T23:04:49.668+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-16 between SAC and UTA.
[2025-06-21T23:04:56.707+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between MIN and PHO.
[2025-06-21T23:05:03.593+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between IND and MIA.
[2025-06-21T23:05:11.378+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between CLE and CHO.
[2025-06-21T23:05:18.120+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between WAS and DET.
[2025-06-21T23:05:24.803+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between MEM and DEN.
[2025-06-21T23:05:31.640+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between POR and ATL.
[2025-06-21T23:05:38.197+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between NYK and BRK.
